ncells,nfeatures,metric,value
500,all,r2-stds,0.7560170750052987
500,all,r2-pairwise_feat_corrs,0.015447298983172465
500,all,l2-pairwise_feat_corrs,
500,all,l2-means,9.174965858459473
500,all,l2-stds,16.863950729370117
500,all,r2-means,0.8238433520843843
500,all,r2-stds,0.7522258148586501
500,all,r2-pairwise_feat_corrs,0.014474236451441988
500,all,l2-pairwise_feat_corrs,
500,all,l2-means,9.425189971923828
500,all,l2-stds,17.56507682800293
500,all,r2-means,0.8146695415773241
500,all,r2-stds,0.7402153667473231
500,all,r2-pairwise_feat_corrs,0.014119233267969851
500,all,l2-pairwise_feat_corrs,
500,all,l2-means,8.914408683776855
500,all,l2-stds,17.365802764892578
500,all,r2-means,0.8326683745471772
500,all,r2-stds,0.7411765192887985
500,all,r2-pairwise_feat_corrs,0.013473223210619088
500,all,l2-pairwise_feat_corrs,
